 TITLE="parade results"
 VARIABLES="wavl","emis","absco"
 ZONE I=        4000, F=POINT
      916.073        6.272398E+13     39.7814
      916.309        5.326143E+13     33.6777
      916.545        5.661556E+13     35.6910
      916.782        6.817849E+13     42.8712
      917.018        5.356633E+13     33.5804
      917.255        5.301729E+13     33.1387
      917.491        5.300160E+13     33.0322
      917.728        5.308696E+13     32.9888
      917.965        5.324415E+13     32.9904
      918.202        5.341824E+13     33.0022
      918.440        5.355959E+13     32.9930
      918.677        5.375693E+13     33.0186
      918.915        5.395499E+13     33.0442
      919.152        5.415376E+13     33.0698
      919.390        5.435326E+13     33.0955
      919.628        5.455349E+13     33.1212
      919.866        5.475444E+13     33.1469
      920.104        5.495614E+13     33.1726
      920.342        5.515856E+13     33.1984
      920.580        5.536172E+13     33.2242
      920.819        5.556562E+13     33.2500
      921.057        5.577027E+13     33.2759
      921.296        5.597566E+13     33.3018
      921.535        5.618178E+13     33.3277
      921.774        5.638868E+13     33.3536
      922.013        5.659631E+13     33.3796
      922.252        5.680470E+13     33.4055
      922.492        5.701385E+13     33.4316
      922.731        5.722376E+13     33.4576
      922.971        5.743444E+13     33.4837
      923.210        5.764587E+13     33.5097
      923.450        5.785808E+13     33.5359
      923.690        5.807112E+13     33.5620
      923.930        5.828493E+13     33.5882
      924.170        5.849950E+13     33.6144
      924.411        5.871487E+13     33.6406
      924.651        5.893102E+13     33.6669
      924.892        5.914795E+13     33.6932
      925.133        5.936567E+13     33.7195
      925.373        5.958418E+13     33.7458
      925.614        5.980347E+13     33.7722
      925.855        6.002358E+13     33.7986
      926.097        6.024448E+13     33.8250
      926.338        6.046618E+13     33.8515
      926.579        6.068867E+13     33.8780
      926.821        6.091199E+13     33.9045
      927.063        6.113611E+13     33.9310
      927.305        6.136103E+13     33.9575
      927.546        6.158679E+13     33.9842
      927.789        6.181335E+13     34.0107
      928.031        6.204079E+13     34.0374
      928.273        6.226906E+13     34.0641
      928.516        6.249815E+13     34.0908
      928.758        6.272807E+13     34.1175
      929.001        6.295883E+13     34.1443
      929.244        6.319043E+13     34.1711
      929.487        6.342286E+13     34.1978
      929.730        6.365613E+13     34.2247
      929.973        6.389025E+13     34.2516
      930.216        6.412521E+13     34.2784
      930.460        6.436103E+13     34.3054
      930.704        6.459769E+13     34.3323
      930.947        6.483527E+13     34.3593
      931.191        6.507372E+13     34.3863
      931.435        6.531303E+13     34.4134
      931.679        6.555319E+13     34.4405
      931.924        6.579423E+13     34.4675
      932.168        6.603614E+13     34.4947
      932.413        6.627893E+13     34.5218
      932.657        6.652258E+13     34.5490
      932.902        6.676712E+13     34.5762
      933.147        6.701255E+13     34.6035
      933.392        6.725892E+13     34.6307
      933.637        6.750619E+13     34.6580
      933.882        6.775433E+13     34.6853
      934.128        6.800338E+13     34.7127
      934.373        6.825334E+13     34.7401
      934.619        6.850419E+13     34.7675
      934.865        6.875594E+13     34.7949
      935.111        6.900861E+13     34.8224
      935.357        6.926218E+13     34.8498
      935.603        6.951673E+13     34.8774
      935.849        6.977221E+13     34.9049
      936.096        7.002859E+13     34.9325
      936.342        7.028591E+13     34.9601
      936.589        7.054415E+13     34.9878
      936.836        7.080334E+13     35.0155
      937.083        7.106344E+13     35.0432
      937.330        7.132450E+13     35.0709
      937.577        7.158654E+13     35.0987
      937.824        7.184954E+13     35.1265
      938.072        7.211349E+13     35.1543
      938.320        7.237838E+13     35.1821
      938.567        7.264421E+13     35.2100
      938.815        7.291102E+13     35.2379
      939.063        7.317878E+13     35.2658
      939.311        7.344757E+13     35.2938
      939.560        7.371733E+13     35.3218
      939.808        7.398807E+13     35.3498
      940.057        7.425976E+13     35.3778
      940.305        7.453245E+13     35.4059
      940.554        7.480611E+13     35.4340
      940.803        7.508083E+13     35.4622
      941.052        7.535652E+13     35.4904
      941.301        7.563322E+13     35.5186
      941.551        7.591090E+13     35.5468
      941.800        7.618957E+13     35.5750
      942.050        7.646928E+13     35.6034
      942.299        7.675003E+13     35.6317
      942.549        7.703178E+13     35.6600
      942.799        7.731456E+13     35.6884
      943.049        7.759835E+13     35.7168
      943.300        7.788315E+13     35.7452
      943.550        7.816898E+13     35.7737
      943.801        7.845591E+13     35.8022
      944.051        7.874386E+13     35.8307
      944.302        7.903285E+13     35.8593
      944.553        7.932289E+13     35.8879
      944.804        7.961395E+13     35.9165
      945.055        7.990606E+13     35.9452
      945.306        8.019929E+13     35.9739
      945.558        8.049358E+13     36.0026
      945.810        8.078891E+13     36.0314
      946.061        8.108529E+13     36.0601
      946.313        8.138274E+13     36.0889
      946.565        8.168134E+13     36.1177
      946.817        8.198101E+13     36.1467
      947.069        8.228173E+13     36.1755
      947.322        8.258354E+13     36.2044
      947.574        8.288643E+13     36.2334
      947.827        8.319047E+13     36.2624
      948.080        8.349562E+13     36.2915
      948.333        8.380184E+13     36.3205
      948.586        8.410916E+13     36.3496
      948.839        8.441757E+13     36.3787
      949.092        8.472718E+13     36.4078
      949.346        8.503788E+13     36.4370
      949.599        8.534969E+13     36.4662
      949.853        8.566262E+13     36.4954
      950.107        8.597675E+13     36.5247
      950.361        8.629200E+13     36.5540
      950.615        8.660838E+13     36.5834
      950.870        8.692589E+13     36.6127
      951.124        8.724451E+13     36.6421
      951.378        8.756437E+13     36.6715
      951.633        8.788537E+13     36.7010
      951.888        8.820751E+13     36.7305
      952.143        8.853079E+13     36.7600
      952.398        8.885532E+13     36.7896
      952.653        8.918099E+13     36.8191
      952.909        8.950785E+13     36.8488
      953.164        8.983585E+13     36.8784
      953.420        9.016511E+13     36.9081
      953.676        9.049553E+13     36.9378
      953.932        9.082714E+13     36.9676
      954.188        9.115994E+13     36.9974
      954.444        9.149399E+13     37.0272
      954.700        9.182924E+13     37.0570
      954.957        9.216569E+13     37.0869
      955.213        9.250333E+13     37.1168
      955.470        9.284225E+13     37.1467
      955.727        9.318239E+13     37.1767
      955.984        9.352373E+13     37.2067
      956.241        9.386625E+13     37.2367
      956.498        9.421012E+13     37.2668
      956.756        9.455521E+13     37.2969
      957.013        9.490151E+13     37.3270
      957.271        9.524915E+13     37.3572
      957.529        9.559800E+13     37.3874
      957.787        9.594811E+13     37.4176
      958.045        9.629946E+13     37.4479
      958.303        9.665212E+13     37.4781
      958.562        9.700607E+13     37.5085
      958.820        9.736125E+13     37.5389
      959.079        9.771780E+13     37.5693
      959.338        9.807560E+13     37.5997
      959.597        9.843468E+13     37.6302
      959.856        9.879502E+13     37.6606
      960.115        9.915674E+13     37.6912
      960.375        9.951974E+13     37.7217
