y rho t u v xe xN xO xN2 xNO xO2 xN2p xNOp xNp xO2p xOp
97  
 4.378147E-02 8.753794E-04 5.407812E+03 4.323132E+02 -3.556385E+00 1.997696E-04 3.512633E-01 2.849017E-01 3.622215E-01 1.202594E-03 1.143073E-05 1.017994E-06 1.812974E-04 8.097845E-06 2.060039E-08 9.335736E-06
 4.213516E-02 8.484663E-04 5.470641E+03 4.403999E+02 -3.781997E+00 2.186627E-04 3.833193E-01 2.794171E-01 3.357300E-01 1.086646E-03 9.632298E-06 1.308463E-06 1.933323E-04 1.193901E-05 2.191652E-08 1.206102E-05
 4.048884E-02 8.223909E-04 5.532347E+03 4.486512E+02 -4.011699E+00 2.384452E-04 4.150966E-01 2.739729E-01 3.094660E-01 9.794920E-04 8.121385E-06 1.640312E-06 2.045714E-04 1.693245E-05 2.320051E-08 1.527787E-05
 3.884252E-02 7.973969E-04 5.592974E+03 4.570895E+02 -4.247953E+00 2.596655E-04 4.463221E-01 2.686148E-01 2.836542E-01 8.826277E-04 6.908214E-06 2.028139E-06 2.145866E-04 2.379534E-05 2.443685E-08 1.923097E-05
 3.719621E-02 7.732945E-04 5.653678E+03 4.657438E+02 -4.492913E+00 2.833263E-04 4.769702E-01 2.633486E-01 2.583144E-01 7.941402E-04 5.909770E-06 2.478419E-06 2.230560E-04 3.356192E-05 2.562157E-08 2.420429E-05
 3.554989E-02 7.497451E-04 5.714802E+03 4.745317E+02 -4.744339E+00 3.091011E-04 5.071765E-01 2.581538E-01 2.333358E-01 7.106274E-04 5.029730E-06 2.969021E-06 2.303542E-04 4.577428E-05 2.676694E-08 2.997687E-05
 3.390358E-02 7.271172E-04 5.776298E+03 4.834143E+02 -5.004792E+00 3.379666E-04 5.364675E-01 2.531105E-01 2.091077E-01 6.340711E-04 4.296345E-06 3.509177E-06 2.358678E-04 6.166718E-05 2.784431E-08 3.689459E-05
 3.225726E-02 7.053525E-04 5.839906E+03 4.924336E+02 -5.277529E+00 3.730369E-04 5.646832E-01 2.482449E-01 1.857579E-01 5.641803E-04 3.689972E-06 4.104067E-06 2.387641E-04 8.437655E-05 2.882684E-08 4.576338E-05
 3.061094E-02 6.840187E-04 5.905360E+03 5.015201E+02 -5.556911E+00 4.130561E-04 5.922472E-01 2.434870E-01 1.629389E-01 4.976317E-04 3.143003E-06 4.723467E-06 2.399864E-04 1.122777E-04 2.974756E-08 5.603871E-05
 2.896463E-02 6.635105E-04 5.973299E+03 5.105928E+02 -5.845201E+00 4.609849E-04 6.185192E-01 2.389445E-01 1.411752E-01 4.364148E-04 2.680240E-06 5.367643E-06 2.385850E-04 1.485044E-04 3.056143E-08 6.849726E-05
 2.731831E-02 6.436891E-04 6.046602E+03 5.196420E+02 -6.139854E+00 5.245153E-04 6.432853E-01 2.346503E-01 1.206331E-01 3.800630E-04 2.286931E-06 6.014528E-06 2.337344E-04 1.999824E-04 3.123697E-08 8.475280E-05
 2.567199E-02 6.242367E-04 6.123728E+03 5.286389E+02 -6.434566E+00 6.002035E-04 6.670927E-01 2.305128E-01 1.008658E-01 3.263563E-04 1.928468E-06 6.650221E-06 2.268536E-04 2.628918E-04 3.182926E-08 1.037761E-04
 2.402568E-02 6.054568E-04 6.208836E+03 5.374508E+02 -6.723529E+00 7.030308E-04 6.889482E-01 2.266936E-01 8.267318E-02 2.773169E-04 1.625376E-06 7.242735E-06 2.162240E-04 3.507909E-04 3.226261E-08 1.287410E-04
 2.237936E-02 5.870040E-04 6.304862E+03 5.460206E+02 -6.983870E+00 8.496684E-04 7.089145E-01 2.231713E-01 6.598172E-02 2.317230E-04 1.356609E-06 7.756881E-06 2.024323E-04 4.768950E-04 3.256659E-08 1.625516E-04
